items,item_count,support,customers,churn_rate
Inactivity_Level_Moderate,1,0.7038609657351634,7128,0.1867283950617284
Age_Group_Middle,1,0.6318751851486126,6399,0.16783872480075013
Marital_Status_Married,1,0.4628221585859583,4687,0.15126946874333264
Age_Group_Middle + Inactivity_Level_Moderate,2,0.44662782660215267,4523,0.20406809639619722
Marital_Status_Single,1,0.3893551890984497,3943,0.16941415166117169
Income_Category_Less than $40K,1,0.35163424508739016,3561,0.17186183656276327
Transaction_Count_Level_Low,1,0.34146341463414637,3458,0.3765182186234818
Utilization_Level_Low,1,0.33484743754320134,3391,0.29784724270126806
Transaction_Amount_Level_Low,1,0.33356374049570453,3378,0.31645944345766724
Transaction_Amount_Level_High,1,0.3333662486422435,3376,0.09093601895734597
Utilization_Level_High,1,0.3333662486422435,3376,0.08619668246445497
Transaction_Count_Level_Medium,1,0.333267502715513,3375,0.07970370370370371
Transaction_Amount_Level_Medium,1,0.33307001086205196,3373,0.07441446783278981
Utilization_Level_Medium,1,0.33178631381455514,3360,0.09702380952380953
Transaction_Count_Level_High,1,0.32526908265034066,3294,0.01700060716454159
Inactivity_Level_Moderate + Marital_Status_Married,2,0.32220795892169446,3263,0.17989580140974562
Education_Level_Graduate,1,0.308877258813074,3128,0.15569053708439898
Age_Group_Middle + Marital_Status_Married,2,0.29880517428656067,3026,0.1625908790482485
Transaction_Amount_Level_Low + Transaction_Count_Level_Low,2,0.29860768243309965,3024,0.3419312169312169
Marital_Status_Single + Inactivity_Level_Moderate,2,0.2786610052335341,2822,0.1913536498936924
Transaction_Count_Level_Low + Inactivity_Level_Moderate,2,0.2503209242618742,2535,0.41775147928994083
Income_Category_Less than $40K + Inactivity_Level_Moderate,2,0.2489384812876469,2521,0.20269734232447442
Transaction_Amount_Level_Low + Inactivity_Level_Moderate,2,0.24271748790362396,2458,0.3506916192026037
Utilization_Level_Low + Inactivity_Level_Moderate,2,0.24251999605016292,2456,0.33916938110749184
Transaction_Amount_Level_High + Transaction_Count_Level_High,2,0.23857015898094203,2416,0.023178807947019868
Age_Group_Young,1,0.2366939863730621,2397,0.14267834793491865
Inactivity_Level_Moderate + Transaction_Amount_Level_Medium,2,0.23373160857114644,2367,0.08956485002112378
Utilization_Level_High + Inactivity_Level_Moderate,2,0.23165794410980547,2346,0.10656436487638533
Transaction_Count_Level_Medium + Inactivity_Level_Moderate,2,0.23146045225634443,2344,0.09684300341296928
Age_Group_Middle + Marital_Status_Single,2,0.23076923076923078,2337,0.17715019255455713
Inactivity_Level_Moderate + Utilization_Level_Medium,2,0.22968302557519502,2326,0.10662080825451418
Transaction_Amount_Level_High + Age_Group_Middle,2,0.22820183667423719,2311,0.08351363046300303
Transaction_Amount_Level_High + Inactivity_Level_Moderate,2,0.227411869260393,2303,0.11159357359965262
Inactivity_Level_Few,1,0.2233632862644416,2262,0.05083996463306808
Inactivity_Level_Moderate + Transaction_Count_Level_High,2,0.2220795892169448,2249,0.020008892841262782
Age_Group_Middle + Transaction_Amount_Level_Medium,2,0.22178335143675323,2246,0.07123775601068566
Age_Group_Middle + Transaction_Count_Level_High,2,0.22168460551002273,2245,0.013808463251670379
Utilization_Level_Low + Age_Group_Middle,2,0.22099338402290905,2238,0.30116175156389635
Education_Level_Graduate + Inactivity_Level_Moderate,2,0.218524735854646,2213,0.18210573881608677
Transaction_Amount_Level_Low + Transaction_Count_Level_Low + Inactivity_Level_Moderate,3,0.21704354695368816,2198,0.37898089171974525
Income_Category_Less than $40K + Age_Group_Middle,2,0.2144761528586946,2172,0.1832412523020258
Transaction_Count_Level_Medium + Age_Group_Middle,2,0.21329120173792832,2160,0.07592592592592592
Age_Group_Middle + Utilization_Level_Medium,2,0.2110200454231263,2137,0.09780065512400561
Transaction_Count_Level_Medium + Transaction_Amount_Level_Medium,2,0.20865014318159375,2113,0.010411736867013724
Age_Group_Middle + Inactivity_Level_Moderate + Marital_Status_Married,3,0.20677397057371383,2094,0.20057306590257878
Utilization_Level_High + Age_Group_Middle,2,0.19986175570257728,2024,0.09436758893280632
Education_Level_High School,1,0.1987755505085415,2013,0.15201192250372578
Transaction_Count_Level_Low + Age_Group_Middle,2,0.1968993779006616,1994,0.4408224674022066
Education_Level_Graduate + Age_Group_Middle,2,0.19482571343932062,1973,0.16320324379118095
Transaction_Count_Level_Low + Marital_Status_Married,2,0.19383825417201542,1963,0.29393785022924096
Transaction_Amount_Level_Low + Marital_Status_Married,2,0.1889997037622198,1914,0.24921630094043887
Transaction_Amount_Level_Low + Age_Group_Middle,2,0.1818899970376222,1842,0.3914223669923996
Utilization_Level_High + Income_Category_Less than $40K,2,0.1796188407228202,1819,0.09180868609125893
Income_Category_$40K - $60K,1,0.17675520884763504,1790,0.15139664804469274
Transaction_Amount_Level_Low + Transaction_Count_Level_Low + Marital_Status_Married,3,0.17478029031302458,1770,0.26101694915254237
Transaction_Amount_Level_Low + Transaction_Count_Level_Low + Age_Group_Middle,3,0.1708304532438037,1730,0.4052023121387283
Age_Group_Young + Inactivity_Level_Moderate,2,0.16885553470919323,1710,0.16783625730994153
Age_Group_Middle + Inactivity_Level_Moderate + Marital_Status_Single,3,0.16757183766169645,1697,0.21096051856216852
Utilization_Level_High + Marital_Status_Married,2,0.16401698429939765,1661,0.07947019867549669
Transaction_Amount_Level_High + Age_Group_Middle + Transaction_Count_Level_High,3,0.163325762812284,1654,0.018742442563482467
Utilization_Level_Low + Age_Group_Middle + Inactivity_Level_Moderate,3,0.1629307791053619,1650,0.3527272727272727
Transaction_Amount_Level_High + Inactivity_Level_Moderate + Transaction_Count_Level_High,3,0.161054606497482,1631,0.027590435315757205
Income_Category_Less than $40K + Marital_Status_Married,2,0.1607583687172904,1628,0.16154791154791154
Age_Group_Middle + Inactivity_Level_Moderate + Transaction_Amount_Level_Medium,3,0.15621605608768638,1582,0.09102402022756005
Transaction_Amount_Level_High + Age_Group_Middle + Inactivity_Level_Moderate,3,0.1550311049669201,1570,0.11146496815286625
Utilization_Level_Medium + Marital_Status_Married,2,0.15424113755307595,1562,0.08578745198463508
Income_Category_Less than $40K + Age_Group_Middle + Inactivity_Level_Moderate,3,0.15394489977288436,1559,0.22001282873636946
Income_Category_$80K - $120K,1,0.15157499753135184,1535,0.15765472312703582
Age_Group_Middle + Inactivity_Level_Moderate + Transaction_Count_Level_High,3,0.15019255455712452,1521,0.01775147928994083
Education_Level_Unknown,1,0.14999506270366347,1519,0.1685319289005925
Transaction_Count_Level_Medium + Marital_Status_Single,2,0.14979757085020243,1517,0.07712590639419907
Marital_Status_Single + Transaction_Amount_Level_Medium,2,0.14890885750962773,1508,0.06830238726790451
Transaction_Count_Level_Medium + Age_Group_Middle + Inactivity_Level_Moderate,3,0.14821763602251406,1501,0.09993337774816789
Transaction_Count_Level_Low + Age_Group_Middle + Inactivity_Level_Moderate,3,0.14821763602251406,1501,0.49700199866755496
Education_Level_Uneducated,1,0.14683519304828677,1487,0.1593813046402152
Education_Level_Graduate + Marital_Status_Married,2,0.14604522563444258,1479,0.1440162271805274
Age_Group_Middle + Inactivity_Level_Moderate + Utilization_Level_Medium,3,0.14505776636713735,1469,0.11640571817562968
Utilization_Level_Low + Marital_Status_Married,2,0.14456403673348475,1464,0.3025956284153005
Transaction_Amount_Level_High + Marital_Status_Married,2,0.14387281524637108,1457,0.08098833218943034
Transaction_Count_Level_Medium + Inactivity_Level_Moderate + Transaction_Amount_Level_Medium,3,0.14387281524637108,1457,0.013726835964310227
Income_Category_Less than $40K + Marital_Status_Single,2,0.14110792929791646,1429,0.17914625612316304
Transaction_Count_Level_Low + Inactivity_Level_Moderate + Marital_Status_Married,3,0.14071294559099437,1425,0.33263157894736844
Transaction_Count_Level_Medium + Age_Group_Middle + Transaction_Amount_Level_Medium,3,0.14061419966426386,1424,0.007724719101123595
Education_Level_High School + Inactivity_Level_Moderate,2,0.13933050261676705,1411,0.17505315379163713
Utilization_Level_High + Age_Group_Middle + Inactivity_Level_Moderate,3,0.1386392811296534,1404,0.12108262108262108
Transaction_Count_Level_High + Marital_Status_Married,2,0.13844178927619236,1402,0.014265335235378032
Income_Category_$60K - $80K,1,0.13844178927619236,1402,0.13480741797432239
Utilization_Level_Low + Marital_Status_Single,2,0.13834304334946185,1401,0.2926481084939329
Age_Group_Middle + Inactivity_Level_Few,2,0.13705934630196503,1388,0.03170028818443804
Transaction_Amount_Level_High + Marital_Status_Single,2,0.136861854448504,1386,0.10245310245310245
Education_Level_Graduate + Age_Group_Middle + Inactivity_Level_Moderate,3,0.136861854448504,1386,0.19552669552669552
Transaction_Amount_Level_Low + Inactivity_Level_Moderate + Marital_Status_Married,3,0.1358743951811988,1376,0.28125
Transaction_Amount_Level_Low + Age_Group_Middle + Inactivity_Level_Moderate,3,0.13538066554754616,1371,0.44055433989788473
Marital_Status_Single + Transaction_Count_Level_High,2,0.1351831736940851,1369,0.02191380569758948
Age_Group_Old,1,0.13143082847832527,1331,0.1585274229902329
Transaction_Count_Level_Medium + Marital_Status_Married,2,0.13054211513775058,1322,0.08472012102874432
Marital_Status_Married + Transaction_Amount_Level_Medium,2,0.12994963957736744,1316,0.08662613981762918
Marital_Status_Single + Utilization_Level_Medium,2,0.12728349955564333,1289,0.1078355314197052
Transaction_Amount_Level_High + Income_Category_Less than $40K,2,0.12678976992199073,1284,0.06074766355140187
Utilization_Level_High + Income_Category_Less than $40K + Inactivity_Level_Moderate,3,0.12659227806852968,1282,0.11388455538221529
Utilization_Level_Low + Transaction_Count_Level_Low,2,0.1261972943616076,1278,0.6189358372456965
Utilization_Level_High + Marital_Status_Single,2,0.12372864619334452,1253,0.09497206703910614
Income_Category_Less than $40K + Transaction_Amount_Level_Medium,2,0.12264244099930878,1242,0.0966183574879227
Age_Group_Middle + Education_Level_High School,2,0.12224745729238669,1238,0.1518578352180937
Transaction_Count_Level_Medium + Income_Category_Less than $40K,2,0.12204996543892564,1236,0.06634304207119741
Income_Category_Less than $40K + Transaction_Count_Level_High,2,0.12175372765873407,1233,0.010543390105433901
Income_Category_$40K - $60K + Inactivity_Level_Moderate,2,0.12125999802508146,1228,0.17996742671009772
Education_Level_Graduate + Marital_Status_Single,2,0.11819887429643527,1197,0.16875522138680032
Utilization_Level_High + Transaction_Count_Level_Medium,2,0.11731016095586057,1188,0.02356902356902357
Utilization_Level_High + Transaction_Amount_Level_Medium,2,0.11721141502913004,1187,0.05728727885425442
Utilization_Level_Low + Transaction_Amount_Level_Low,2,0.11691517724893848,1184,0.5540540540540541
Transaction_Amount_Level_Low + Utilization_Level_Medium,2,0.11513775056778908,1166,0.1783876500857633
Transaction_Amount_Level_High + Utilization_Level_High,2,0.11464402093413646,1161,0.015503875968992248
Utilization_Level_High + Transaction_Count_Level_High,2,0.11405154537375334,1155,0.0017316017316017316
Utilization_Level_High + Inactivity_Level_Moderate + Marital_Status_Married,3,0.11395279944702282,1154,0.09965337954939342
Utilization_Level_Medium + Transaction_Count_Level_High,2,0.11365656166683125,1151,0.011294526498696786
Transaction_Count_Level_Low + Utilization_Level_Medium,2,0.11326157795990915,1147,0.21795989537925023
Education_Level_Graduate + Income_Category_Less than $40K,2,0.11247161054606497,1139,0.18437225636523266
Income_Category_Less than $40K + Inactivity_Level_Moderate + Marital_Status_Married,3,0.1121753727658734,1136,0.19718309859154928
Transaction_Amount_Level_High + Utilization_Level_Medium,2,0.1121753727658734,1136,0.07042253521126761
Utilization_Level_Low + Transaction_Amount_Level_Medium,2,0.11138540535202923,1128,0.12854609929078015
Utilization_Level_Low + Transaction_Count_Level_Medium,2,0.11108916757183766,1125,0.1582222222222222
Income_Category_Unknown,1,0.10980547052434086,1112,0.1681654676258993
Utilization_Level_High + Income_Category_Less than $40K + Age_Group_Middle,3,0.10931174089068826,1107,0.10298102981029811
Income_Category_$80K - $120K + Inactivity_Level_Moderate,2,0.10822553569665251,1096,0.18248175182481752
Income_Category_Less than $40K + Transaction_Count_Level_Low,2,0.10783055198973042,1092,0.4734432234432234
Inactivity_Level_Few + Marital_Status_Married,2,0.10694183864915573,1083,0.04339796860572484
Education_Level_Graduate + Transaction_Count_Level_Low,2,0.1068430927224252,1082,0.36229205175600737
Transaction_Amount_Level_High + Utilization_Level_Low,2,0.10654685494223363,1079,0.1936978683966636
Utilization_Level_Low + Transaction_Count_Level_Low + Transaction_Amount_Level_Low,3,0.1059543793818505,1073,0.5917986952469712
Transaction_Count_Level_Medium + Marital_Status_Single + Inactivity_Level_Moderate,3,0.10585563345511997,1072,0.09421641791044776
Marital_Status_Single + Inactivity_Level_Moderate + Transaction_Amount_Level_Medium,3,0.10546064974819788,1068,0.07865168539325842
Income_Category_$40K - $60K + Age_Group_Middle,2,0.10536190382146736,1067,0.16776007497656983
Education_Level_Graduate + Transaction_Amount_Level_Low,2,0.10526315789473684,1066,0.3123827392120075
